ID	CP	ストア	出版社	データタイプ	作者	タイトルID	タイトル名	フォーマット	画面サイズ	DL区分	通番	配信許諾名	配信	表示	状態	価格	DL期限	許諾開始日	許諾終了日	配信開始日	配信終了日	登録日時	更新日時
00287akj	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	いとうひろあき･イワミ*カイ	00005sxs	あかずきん	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287al1	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･みやかわさとこ	00005sxt	ゆきのじょおう	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287akt	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･いとうえみ	00005tk9	みにくいあひるのこ	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287akr	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･いとうえみ	00005tka	ピノキオ	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:52	2017/07/11 06:06:52
00287akp	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･YOCTO	00005tkc	いなばのしろうさぎ	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:51	2017/07/11 06:06:51
00287akz	Amazon.com, Inc.(国内)	Kindle(国内納品用)	Toyboo!	電子書籍	たにぐちはじめ･ふじたかよこ	00005tkf	はだかのおうさま	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2017/06/01	2999/12/31	2017/06/01	2999/12/31	2017/07/11 06:06:51	2017/07/11 06:06:51
002f05xw	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	56	第56号	○	○	○	444	無期限	2018/06/14	2999/12/31	2018/06/14	2999/12/31	2018/06/01 06:08:32	2018/06/01 06:08:32
002f05xx	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	56	サンプル	○	○	○	0	1	2018/06/14	2999/12/31	2018/06/14	2999/12/31	2018/06/01 06:08:32	2018/06/01 06:08:32
002f0vwx	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ミナトプロ/エムズ(フルカラー版)	電子書籍	多田かおる	0000azxp	愛してナイト(フルカラー版)	EPUB3.0	汎用	DL	1	1巻	○	○	○	350	無期限	2018/06/08	2999/12/31	2018/06/08	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
002f0vwy	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ミナトプロ/エムズ(フルカラー版)	電子書籍	多田かおる	0000azxp	愛してナイト(フルカラー版)	EPUB3.0	汎用	DL	2	2巻	○	○	○	350	無期限	2018/06/08	2999/12/31	2018/06/08	2999/12/31	2018/06/02 06:08:20	2018/06/02 06:08:20
